template_type	occupation	source_gender	source	gold	model	pipeline	target	GENDER_A0	GENDER_A1
5	examiner	female	Anne is a examiner.	Анна - екзаменаторка.	mbart	zeroshot	Анна вивчає.	none	none
6	examiner	female	Anne is an experienced examiner.	Анна - досвідчена екзаменаторка.	mbart	zeroshot	Анна є досвідченою науковцем.	female	female
7	examiner	male	Tom is a examiner.	Том - екзаменатор.	mbart	zeroshot	Том - тестувальник.	male	male
8	examiner	male	Tom is a poor examiner.	Том - бідний екзаменатор.	mbart	zeroshot	Том - поганий оглядач.	male	male
9	examiner	neutral	Jessie is a good examiner.	Джессі - хороший екзаменатор.	mbart	zeroshot	Джесси - хороший оглядач.	male	male
10	examiner	neutral	Jessie is a poor examiner.	Джессі - бідний екзаменатор.	mbart	zeroshot	Джесси - поганий оглядач.	male	female
1	mechanic	neutral	I used to work as a mechanic.	Я працював механіком.	mbart	zeroshot	Я працював механіком.	male	male
2	mechanic	neutral	I am a poor mechanic.	Я бідний механік.	mbart	zeroshot	Я бідний механик.	male	male
3	mechanic	neutral	I am a nice mechanic.	Я хороший механік.	mbart	zeroshot	Я хороший механик.	male	male
4	mechanic	neutral	The mechanic called me today.	Механік зателефонував мені сьогодні.	mbart	zeroshot	Механіст зателефонував мені сьогодні.	male	male
5	mechanic	female	Anne is a mechanic.	Анна - механікиня.	mbart	zeroshot	Анна - механік.	male	male
6	mechanic	female	Anne is an experienced mechanic.	Анна - досвідчена механікиня.	mbart	zeroshot	Анна є досвідченою механікою.	female	female
7	mechanic	male	Tom is a mechanic.	Том - механік.	mbart	zeroshot	Том - механик.	male	male
8	mechanic	male	Tom is a poor mechanic.	Том - бідний механік.	mbart	zeroshot	Том - бідний механик.	male	male
9	mechanic	neutral	Jessie is a good mechanic.	Джессі - хороший механік.	mbart	zeroshot	Джесси - хороший механик.	male	male
10	mechanic	neutral	Jessie is a poor mechanic.	Джессі - бідний механік.	mbart	zeroshot	Джесси - бідний механик.	male	male
1	dispatcher	neutral	I used to work as a dispatcher.	Я працював диспетчером.	mbart	zeroshot	Я працював диспетчером.	male	male
2	dispatcher	neutral	I am a poor dispatcher.	Я бідний диспетчер.	mbart	zeroshot	Я бідний відправник.	male	male
3	dispatcher	neutral	I am a nice dispatcher.	Я хороший диспетчер.	mbart	zeroshot	Я хороший диспетчер.	male	male
4	dispatcher	neutral	The dispatcher called me today.	Диспетчер зателефонував мені сьогодні.	mbart	zeroshot	Диспетчер зателефонував мені сьогодні.	male	male
5	dispatcher	female	Anne is a dispatcher.	Анна - диспетчерка.	mbart	zeroshot	Анна - відправник.	male	male
6	dispatcher	female	Anne is an experienced dispatcher.	Анна - досвідчена диспетчерка.	mbart	zeroshot	Анна є досвідченим відправником.	male	male
7	dispatcher	male	Tom is a dispatcher.	Том - диспетчер.	mbart	zeroshot	Том - диспетчер.	male	male
8	dispatcher	male	Tom is a poor dispatcher.	Том - бідний диспетчер.	mbart	zeroshot	Том - бідний диспетчер.	male	male
9	dispatcher	neutral	Jessie is a good dispatcher.	Джессі - хороший диспетчер.	mbart	zeroshot	Джесси - хороший диспетчер.	male	male
10	dispatcher	neutral	Jessie is a poor dispatcher.	Джессі - бідний диспетчер.	mbart	zeroshot	Джесси - бідний диспетчер.	male	male
1	surgeon	neutral	I used to work as a surgeon.	Я працював хірургом.	mbart	zeroshot	Я працював хірургом.	male	male
2	surgeon	neutral	I am a poor surgeon.	Я бідний хірург.	mbart	zeroshot	Я бідний хірург.	male	male
3	surgeon	neutral	I am a nice surgeon.	Я хороший хірург.	mbart	zeroshot	Я хороший хірург.	male	male
4	surgeon	neutral	The surgeon called me today.	Хірург зателефонував мені сьогодні.	mbart	zeroshot	хірург зателефонував мені сьогодні.	male	male
5	surgeon	female	Anne is a surgeon.	Анна - хірургиня.	mbart	zeroshot	Анна - хірург.	male	male
6	surgeon	female	Anne is an experienced surgeon.	Анна - досвідчена хірургиня.	mbart	zeroshot	Анна - досвідчений хірург.	male	male
7	surgeon	male	Tom is a surgeon.	Том - хірург.	mbart	zeroshot	Том - хірург.	male	male
8	surgeon	male	Tom is a poor surgeon.	Том - бідний хірург.	mbart	zeroshot	Том - бідний хірург.	male	male
9	surgeon	neutral	Jessie is a good surgeon.	Джессі - хороший хірург.	mbart	zeroshot	Джесси - хороший хірург.	male	male
10	surgeon	neutral	Jessie is a poor surgeon.	Джессі - бідний хірург.	mbart	zeroshot	Джесси - бідний хірург.	male	male
1	electrician	neutral	I used to work as a electrician.	Я працював електриком.	mbart	zeroshot	Я працював електриком.	male	male
2	electrician	neutral	I am a poor electrician.	Я бідний електрик.	mbart	zeroshot	Я бідний електрик.	male	male
3	electrician	neutral	I am a nice electrician.	Я хороший електрик.	mbart	zeroshot	Я хороший електрик.	male	male
4	electrician	neutral	The electrician called me today.	Електрик зателефонував мені сьогодні.	mbart	zeroshot	Электрик зателефонував мені сьогодні.	male	male
5	electrician	female	Anne is a electrician.	Анна - електрикиня.	mbart	zeroshot	Анна є електриком.	male	male
6	electrician	female	Anne is an experienced electrician.	Анна - досвідчена електрикиня.	mbart	zeroshot	Анна є досвідченою електротехнікою.	female	female
7	electrician	male	Tom is a electrician.	Том - електрик.	mbart	zeroshot	Том електрик.	male	male
8	electrician	male	Tom is a poor electrician.	Том - бідний електрик.	mbart	zeroshot	Том - бідний електрик.	male	male
9	electrician	neutral	Jessie is a good electrician.	Джессі - хороший електрик.	mbart	zeroshot	Джесси - хороший електрик.	male	male
10	electrician	neutral	Jessie is a poor electrician.	Джессі - бідний електрик.	mbart	zeroshot	Джесси - бідний електрик.	male	male
1	investigator	neutral	I used to work as a investigator.	Я працював слідчим.	mbart	zeroshot	Я працював дослідником.	male	male
2	investigator	neutral	I am a poor investigator.	Я бідний слідчий.	mbart	zeroshot	Я бідний дослідник.	male	male
3	investigator	neutral	I am a nice investigator.	Я хороший слідчий.	mbart	zeroshot	Я хороший дослідник.	male	male
4	investigator	neutral	The investigator called me today.	Слідчий зателефонував мені сьогодні.	mbart	zeroshot	Дослідник зателефонував мені сьогодні.	male	male
5	investigator	female	Anne is a investigator.	Анна - слідча.	mbart	zeroshot	Анна - дослідник.	male	male
6	investigator	female	Anne is an experienced investigator.	Анна - досвідчена слідча.	mbart	zeroshot	Анна - досвідчений дослідник.	male	male
7	investigator	male	Tom is a investigator.	Том - слідчий.	mbart	zeroshot	Том - дослідник.	male	male
8	investigator	male	Tom is a poor investigator.	Том - бідний слідчий.	mbart	zeroshot	Том - бідний дослідник.	male	male
9	investigator	neutral	Jessie is a good investigator.	Джессі - хороший слідчий.	mbart	zeroshot	Джесси - хороший дослідник.	male	male
10	investigator	neutral	Jessie is a poor investigator.	Джессі - бідний слідчий.	mbart	zeroshot	Джесси - бідний дослідник.	male	male
1	plumber	neutral	I used to work as a plumber.	Я працював водопровідником.	mbart	zeroshot	Я працював водопроводником.	male	male
2	plumber	neutral	I am a poor plumber.	Я бідний водопровідник.	mbart	zeroshot	Я бідний сантехник.	male	male
3	plumber	neutral	I am a nice plumber.	Я хороший водопровідник.	mbart	zeroshot	Я гарний сантехник.	male	male
4	plumber	neutral	The plumber called me today.	Водопровідник зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мене зателефонував водопроводник.	male	male
5	plumber	female	Anne is a plumber.	Анна - водопровідниця.	mbart	zeroshot	Анна - водопроводник.	male	male
6	plumber	female	Anne is an experienced plumber.	Анна - досвідчена водопровідниця.	mbart	zeroshot	Анна є досвідченою сантехникою.	female	female
7	plumber	male	Tom is a plumber.	Том - водопровідник.	mbart	zeroshot	Том - водопроводник.	male	male
8	plumber	male	Tom is a poor plumber.	Том - бідний водопровідник.	mbart	zeroshot	Том - бідний сантехник.	male	male
9	plumber	neutral	Jessie is a good plumber.	Джессі - хороший водопровідник.	mbart	zeroshot	Джесси - хороший сантехник.	male	male
10	plumber	neutral	Jessie is a poor plumber.	Джессі - бідний водопровідник.	mbart	zeroshot	Джесси - бідний сантехник.	male	male
1	counselor	neutral	I used to work as a counselor.	Я працював радник.	mbart	zeroshot	Я працював консультантом.	male	male
2	counselor	neutral	I am a poor counselor.	Я бідний радник.	mbart	zeroshot	Я бідний консультант.	male	male
3	counselor	neutral	I am a nice counselor.	Я хороший радник.	mbart	zeroshot	Я хороший консультант.	male	male
4	counselor	neutral	The counselor called me today.	Радник зателефонував мені сьогодні.	mbart	zeroshot	Консультант зателефонував мені сьогодні.	male	male
5	counselor	female	Anne is a counselor.	Анна - радниця.	mbart	zeroshot	Анна є консультанткою.	female	female
6	counselor	female	Anne is an experienced counselor.	Анна - досвідчена радниця.	mbart	zeroshot	Анна є досвідченою консультанткою.	female	female
7	counselor	male	Tom is a counselor.	Том - радник.	mbart	zeroshot	Том - консультант.	male	male
8	counselor	male	Tom is a poor counselor.	Том - бідний радник.	mbart	zeroshot	Том - бідний консультант.	male	male
9	counselor	neutral	Jessie is a good counselor.	Джессі - хороший радник.	mbart	zeroshot	Джесси - хороший консультант.	male	male
10	counselor	neutral	Jessie is a poor counselor.	Джессі - бідний радник.	mbart	zeroshot	Джесси - погана консультантка.	female	female
1	administrator	neutral	I used to work as a administrator.	Я працював адміністратором.	mbart	zeroshot	Я працював адміністратором.	male	male
2	administrator	neutral	I am a poor administrator.	Я поганий адміністратор.	mbart	zeroshot	Я поганий адміністратор.	male	male
3	administrator	neutral	I am a nice administrator.	Я хороший адміністратор.	mbart	zeroshot	Я хороший адміністратор.	male	male
4	administrator	neutral	The administrator called me today.	Адміністратор зателефонував мені сьогодні.	mbart	zeroshot	Адміністратор зателефонував мені сьогодні.	male	male
5	administrator	female	Anne is a administrator.	Анна - адміністраторка.	mbart	zeroshot	Анна - адміністраторка.	female	female
6	administrator	female	Anne is an experienced administrator.	Анна - досвідчена адміністраторка.	mbart	zeroshot	Анна є досвідченою адміністраторкою.	female	female
7	administrator	male	Tom is a administrator.	Том - адміністратор.	mbart	zeroshot	Том - адміністратор.	male	male
8	administrator	male	Tom is a poor administrator.	Том - бідний адміністратор.	mbart	zeroshot	Том - бідний адміністратор.	male	male
9	administrator	neutral	Jessie is a good administrator.	Джессі - хороший адміністратор.	mbart	zeroshot	Джесси - хороший адміністратор.	male	male
10	administrator	neutral	Jessie is a poor administrator.	Джессі - бідний адміністратор.	mbart	zeroshot	Джесси - погана адміністраторка.	female	female
1	auditor	neutral	I used to work as a auditor.	Я працював аудитором.	mbart	zeroshot	Я працював аудитором.	male	male
2	auditor	neutral	I am a poor auditor.	Я бідний аудитор.	mbart	zeroshot	Я бідний аудитор.	male	male
3	auditor	neutral	I am a nice auditor.	Я хороший аудитор.	mbart	zeroshot	Я хороший аудитор.	male	male
4	auditor	neutral	The auditor called me today.	Аудитор зателефонував мені сьогодні.	mbart	zeroshot	Аудитор зателефонував мені сьогодні.	male	male
5	auditor	female	Anne is a auditor.	Анна - аудиторка.	mbart	zeroshot	Анна є аудитором.	male	male
6	auditor	female	Anne is an experienced auditor.	Анна - досвідчена аудиторка.	mbart	zeroshot	Анна є досвідченою аудиторкою.	female	female
7	auditor	male	Tom is a auditor.	Том - аудитор.	mbart	zeroshot	Том - аудитор.	male	male
8	auditor	male	Tom is a poor auditor.	Том - бідний аудитор.	mbart	zeroshot	Том - бідний аудитор.	male	male
9	auditor	neutral	Jessie is a good auditor.	Джессі - хороший аудитор.	mbart	zeroshot	Джесси - хороший аудитор.	male	male
10	auditor	neutral	Jessie is a poor auditor.	Джессі - бідний аудитор.	mbart	zeroshot	Джесси - бідний аудитор.	male	male
1	chef	neutral	I used to work as a chef.	Я працював шеф-кухарем.	mbart	zeroshot	Я працював кухарем.	male	male
2	chef	neutral	I am a poor chef.	Я бідний шеф-кухар.	mbart	zeroshot	Я бідний шеф-повар.	male	male
3	chef	neutral	I am a nice chef.	Я хороший шеф-кухар.	mbart	zeroshot	Я гарний шеф-повар.	male	male
4	chef	neutral	The chef called me today.	Шеф-кухар зателефонував мені сьогодні.	mbart	zeroshot	Кухня зателефонувала мені сьогодні.	female	female
5	chef	female	Anne is a chef.	Анна - шеф-кухарка.	mbart	zeroshot	Анна кухарка.	female	female
6	chef	female	Anne is an experienced chef.	Анна - досвідчена шеф-кухарка.	mbart	zeroshot	Анна - досвідчений шеф-повар.	male	male
7	chef	male	Tom is a chef.	Том - шеф-кухар.	mbart	zeroshot	Том - шеф-повар.	male	male
8	chef	male	Tom is a poor chef.	Том - бідний шеф-кухар.	mbart	zeroshot	Том бідний шеф-повар.	male	male
9	chef	neutral	Jessie is a good chef.	Джессі - хороший шеф-кухар.	mbart	zeroshot	Джесси - хороший шеф-повар.	male	male
10	chef	neutral	Jessie is a poor chef.	Джессі - бідний шеф-кухар.	mbart	zeroshot	Джесси - бідний шеф-повар.	male	male
1	engineer	neutral	I used to work as a engineer.	Я працював інженером.	mbart	zeroshot	Я працював інженером.	male	male
2	engineer	neutral	I am a poor engineer.	Я бідний інженер.	mbart	zeroshot	Я бідний інженер.	male	male
3	engineer	neutral	I am a nice engineer.	Я хороший інженер.	mbart	zeroshot	Я гарний інженер.	male	male
4	engineer	neutral	The engineer called me today.	Інженер зателефонував мені сьогодні.	mbart	zeroshot	Інженер зателефонував мені сьогодні.	male	male
5	engineer	female	Anne is a engineer.	Анна - інженерка.	mbart	zeroshot	Анна - інженер.	male	male
6	engineer	female	Anne is an experienced engineer.	Анна - досвідчена інженерка.	mbart	zeroshot	Анна - досвідчений інженер.	male	male
7	engineer	male	Tom is a engineer.	Том - інженер.	mbart	zeroshot	Том інженер.	male	male
8	engineer	male	Tom is a poor engineer.	Том - бідний інженер.	mbart	zeroshot	Том - бідний інженер.	male	male
9	engineer	neutral	Jessie is a good engineer.	Джессі - хороший інженер.	mbart	zeroshot	Джесси - хороший інженер.	male	male
10	engineer	neutral	Jessie is a poor engineer.	Джессі - бідний інженер.	mbart	zeroshot	Джесси - бідний інженер.	male	male
1	psychologist	neutral	I used to work as a psychologist.	Я працював психологом.	mbart	zeroshot	Я працював психологом.	male	male
2	psychologist	neutral	I am a poor psychologist.	Я бідний психолог.	mbart	zeroshot	Я бідний психолог.	male	male
3	psychologist	neutral	I am a nice psychologist.	Я хороший психолог.	mbart	zeroshot	Я хороший психолог.	male	male
4	psychologist	neutral	The psychologist called me today.	Психолог зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені подзвонив психолог.	male	male
5	psychologist	female	Anne is a psychologist.	Анна - психологиня.	mbart	zeroshot	Анна - психолог.	male	male
6	psychologist	female	Anne is an experienced psychologist.	Анна - досвідчена психологиня.	mbart	zeroshot	Анна - досвідчений психолог.	male	male
7	psychologist	male	Tom is a psychologist.	Том - психолог.	mbart	zeroshot	Том - психолог.	male	male
8	psychologist	male	Tom is a poor psychologist.	Том - бідний психолог.	mbart	zeroshot	Том - бідний психолог.	male	male
9	psychologist	neutral	Jessie is a good psychologist.	Джессі - хороший психолог.	mbart	zeroshot	Джесси - хороший психолог.	male	male
10	psychologist	neutral	Jessie is a poor psychologist.	Джессі - бідний психолог.	mbart	zeroshot	Джесси - бідний психолог.	male	male
1	firefighter	neutral	I used to work as a firefighter.	Я працював пожежником.	mbart	zeroshot	Я працював пожежником.	male	male
2	firefighter	neutral	I am a poor firefighter.	Я бідний пожежник.	mbart	zeroshot	Я бідний пожежник.	male	male
3	firefighter	neutral	I am a nice firefighter.	Я хороший пожежник.	mbart	zeroshot	Я гарний пожежник.	male	male
4	firefighter	neutral	The firefighter called me today.	Пожежник зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені подзвонив пожежник.	male	male
5	firefighter	female	Anne is a firefighter.	Анна - пожежниця.	mbart	zeroshot	Анна - пожежник.	male	male
6	firefighter	female	Anne is an experienced firefighter.	Анна - досвідчена пожежниця.	mbart	zeroshot	Анна - досвідчений пожежник.	male	male
7	firefighter	male	Tom is a firefighter.	Том - пожежник.	mbart	zeroshot	Том - пожежник.	male	male
8	firefighter	male	Tom is a poor firefighter.	Том - бідний пожежник.	mbart	zeroshot	Том бідний пожежник.	male	male
9	firefighter	neutral	Jessie is a good firefighter.	Джессі - хороший пожежник.	mbart	zeroshot	Джесси - хороший пожежник.	male	male
10	firefighter	neutral	Jessie is a poor firefighter.	Джессі - бідний пожежник.	mbart	zeroshot	Джесси - бідний пожежник.	male	male
1	advisor	neutral	I used to work as a advisor.	Я працював консультантом.	mbart	zeroshot	Я працював консультантом.	male	male
2	advisor	neutral	I am a poor advisor.	Я поганий консультант.	mbart	zeroshot	Я поганий консультант.	male	male
3	advisor	neutral	I am a nice advisor.	Я хороший консультант.	mbart	zeroshot	Я хороший консультант.	male	male
4	advisor	neutral	The advisor called me today.	Консультант зателефонував мені сьогодні.	mbart	zeroshot	Консультант зателефонував мені сьогодні.	male	male
5	advisor	female	Anne is a advisor.	Анна - консультантка.	mbart	zeroshot	Анна є консультанткою.	female	female
6	advisor	female	Anne is an experienced advisor.	Анна - досвідчена консультантка.	mbart	zeroshot	Анна є досвідченою консультанткою.	female	female
7	advisor	male	Tom is a advisor.	Том - консультант.	mbart	zeroshot	Том - консультант.	male	male
8	advisor	male	Tom is a poor advisor.	Том - поганий консультант.	mbart	zeroshot	Том - поганий консультант.	male	male
9	advisor	neutral	Jessie is a good advisor.	Джессі - хороший консультант.	mbart	zeroshot	Джесси - хороший консультант.	male	male
10	advisor	neutral	Jessie is a poor advisor.	Джессі - поганий консультант.	mbart	zeroshot	Джесси - погана консультантка.	female	female
1	chemist	neutral	I used to work as a chemist.	Я працював хіміком.	mbart	zeroshot	Я працював хіміком.	male	male
2	chemist	neutral	I am a poor chemist.	Я бідний хімік.	mbart	zeroshot	Я бідний хімік.	male	male
3	chemist	neutral	I am a nice chemist.	Я хороший хімік.	mbart	zeroshot	Я хороший хімік.	male	male
4	chemist	neutral	The chemist called me today.	Хімік зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені зателефонував хімік.	male	male
5	chemist	female	Anne is a chemist.	Анна - хімікиня.	mbart	zeroshot	Анна - хімік.	male	male
6	chemist	female	Anne is an experienced chemist.	Анна - досвідчена хімікиня.	mbart	zeroshot	Анна - досвідчений хімік.	male	male
7	chemist	male	Tom is a chemist.	Том - хімік.	mbart	zeroshot	Том - хімік.	male	male
8	chemist	male	Tom is a poor chemist.	Том - бідний хімік.	mbart	zeroshot	Том - бідний хімік.	male	male
9	chemist	neutral	Jessie is a good chemist.	Джессі - хороший хімік.	mbart	zeroshot	Джесси - хороший хімік.	male	male
10	chemist	neutral	Jessie is a poor chemist.	Джессі - бідний хімік.	mbart	zeroshot	Джесси - бідний хімік.	male	male
1	practitioner	neutral	I used to work as a practitioner.	Я працював лікарем.	mbart	zeroshot	Я працював практикующим.	male	male
2	practitioner	neutral	I am a poor practitioner.	Я бідний лікар.	mbart	zeroshot	Я бідний практикующий.	male	male
3	practitioner	neutral	I am a nice practitioner.	Я хороший лікар.	mbart	zeroshot	Я гарна практика.	female	female
4	practitioner	neutral	The practitioner called me today.	Лікар зателефонував мені сьогодні.	mbart	zeroshot	Працівник зателефонував мені сьогодні.	male	male
5	practitioner	female	Anne is a practitioner.	Анна - лікарка.	mbart	zeroshot	Анна практикує.	none	none
6	practitioner	female	Anne is an experienced practitioner.	Анна - досвідчена лікарка.	mbart	zeroshot	Анна є досвідченою практикою.	female	female
7	practitioner	male	Tom is a practitioner.	Том - лікар.	mbart	zeroshot	Том практикує.	none	none
8	practitioner	male	Tom is a poor practitioner.	Том - бідний лікар.	mbart	zeroshot	Том - бідний практикующий.	male	male
9	practitioner	neutral	Jessie is a good practitioner.	Джессі - хороший лікар.	mbart	zeroshot	Джесси - хороша практика.	female	female
10	practitioner	neutral	Jessie is a poor practitioner.	Джессі - бідний лікар.	mbart	zeroshot	Джесси - бідна практика.	female	female
1	dietitian	neutral	I used to work as a dietitian.	Я працював дієтологом.	mbart	zeroshot	Я працював диетологом.	male	male
2	dietitian	neutral	I am a poor dietitian.	Я бідний дієтолог.	mbart	zeroshot	Я бідний диетолог.	male	male
3	dietitian	neutral	I am a nice dietitian.	Я хороший дієтолог.	mbart	zeroshot	Я хороший диетолог.	male	male
4	dietitian	neutral	The dietitian called me today.	Дієтолог зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені подзвонив диетолог.	male	male
5	dietitian	female	Anne is a dietitian.	Анна - дієтологиня.	mbart	zeroshot	Анна - дієтолог.	male	male
6	dietitian	female	Anne is an experienced dietitian.	Анна - досвідчена дієтологиня.	mbart	zeroshot	Анна є досвідченою диетісткою.	female	female
7	dietitian	male	Tom is a dietitian.	Том - дієтолог.	mbart	zeroshot	Том дієтолог.	male	male
8	dietitian	male	Tom is a poor dietitian.	Том - бідний дієтолог.	mbart	zeroshot	Том - бідний дієтолог.	male	male
9	dietitian	neutral	Jessie is a good dietitian.	Джессі - хороший дієтолог.	mbart	zeroshot	Джесси - хороший дієтолог.	male	male
10	dietitian	neutral	Jessie is a poor dietitian.	Джессі - бідний дієтолог.	mbart	zeroshot	Джесси - бідна дієтістка.	female	female
1	manager	neutral	I used to work as a manager.	Я працював менеджером.	mbart	zeroshot	Я працював менеджером.	male	male
2	manager	neutral	I am a poor manager.	Я поганий менеджер.	mbart	zeroshot	Я поганий менеджер.	male	male
3	manager	neutral	I am a nice manager.	Я хороший менеджер.	mbart	zeroshot	Я хороший менеджер.	male	male
4	manager	neutral	The manager called me today.	Менеджер зателефонував мені сьогодні.	mbart	zeroshot	Менеджер зателефонував мені сьогодні.	male	male
5	manager	female	Anne is a manager.	Анна - менеджерка.	mbart	zeroshot	Анна є менеджером.	male	male
6	manager	female	Anne is an experienced manager.	Анна - досвідчена менеджерка.	mbart	zeroshot	Анна - досвідчений менеджер.	male	male
7	manager	male	Tom is a manager.	Том - менеджер.	mbart	zeroshot	Том - менеджер.	male	male
8	manager	male	Tom is a poor manager.	Том - бідний менеджер.	mbart	zeroshot	Том - бідний менеджер.	male	male
9	manager	neutral	Jessie is a good manager.	Джессі - хороший менеджер.	mbart	zeroshot	Джесси - хороший менеджер.	male	male
10	manager	neutral	Jessie is a poor manager.	Джессі - поганий менеджер.	mbart	zeroshot	Джесси - поганий менеджер.	male	male
1	supervisor	neutral	I used to work as a supervisor.	Я працював наглядачем.	mbart	zeroshot	Я працював наглядачем.	male	male
2	supervisor	neutral	I am a poor supervisor.	Я поганий наглядач.	mbart	zeroshot	Я поганий наглядач.	male	male
3	supervisor	neutral	I am a nice supervisor.	Я хороший наглядач.	mbart	zeroshot	Я хороший наглядач.	male	male
4	supervisor	neutral	The supervisor called me today.	Наглядач зателефонував мені сьогодні.	mbart	zeroshot	Навідник зателефонував мені сьогодні.	male	male
5	supervisor	female	Anne is a supervisor.	Анна - наглядачка.	mbart	zeroshot	Анна є наглядачем.	male	male
6	supervisor	female	Anne is an experienced supervisor.	Анна - досвідчена наглядачка.	mbart	zeroshot	Анна є досвідченим наглядачем.	male	male
7	supervisor	male	Tom is a supervisor.	Том - наглядач.	mbart	zeroshot	Том є наглядачем.	male	male
8	supervisor	male	Tom is a poor supervisor.	Том - поганий наглядач.	mbart	zeroshot	Том - поганий наглядач.	male	male
9	supervisor	neutral	Jessie is a good supervisor.	Джессі - хороший наглядач.	mbart	zeroshot	Джесси - хороший наглядач.	male	male
10	supervisor	neutral	Jessie is a poor supervisor.	Джессі - поганий наглядач.	mbart	zeroshot	Джесси - поганий наглядач.	male	male
1	doctor	neutral	I used to work as a doctor.	Я працював лікарем.	mbart	zeroshot	Я працював лікарем.	male	male
2	doctor	neutral	I am a poor doctor.	Я бідний лікар.	mbart	zeroshot	Я бідний лікар.	male	male
3	doctor	neutral	I am a nice doctor.	Я хороший лікар.	mbart	zeroshot	Я хороший лікар.	male	male
4	doctor	neutral	The doctor called me today.	Лікар зателефонував мені сьогодні.	mbart	zeroshot	Доктор зателефонував мені сьогодні.	male	male
5	doctor	female	Anne is a doctor.	Анна - лікарка.	mbart	zeroshot	Анна - лікар.	male	male
6	doctor	female	Anne is an experienced doctor.	Анна - досвідчена лікарка.	mbart	zeroshot	Анна - досвідчений лікар.	male	male
7	doctor	male	Tom is a doctor.	Том - лікар.	mbart	zeroshot	Том - лікар.	male	male
8	doctor	male	Tom is a poor doctor.	Том - бідний лікар.	mbart	zeroshot	Том бідний лікар.	male	male
9	doctor	neutral	Jessie is a good doctor.	Джессі - хороший лікар.	mbart	zeroshot	Джесси - хороший лікар.	male	male
10	doctor	neutral	Jessie is a poor doctor.	Джессі - бідний лікар.	mbart	zeroshot	Джесси - бідний лікар.	male	male
1	hairdresser	neutral	I used to work as a hairdresser.	Я працював перукарем.	mbart	zeroshot	Я працював перукарем.	male	male
2	hairdresser	neutral	I am a poor hairdresser.	Я бідний перукар.	mbart	zeroshot	Я бідний парикмахер.	male	male
3	hairdresser	neutral	I am a nice hairdresser.	Я хороший перукар.	mbart	zeroshot	Я гарна перукарка.	female	female
