id	template_type	occupation	source_gender	source	gold
94	4	counselor	neutral	The counselor called me today.	Радник зателефонував мені сьогодні.
95	5	counselor	female	Anne is a counselor.	Анна - радниця.
96	6	counselor	female	Anne is an experienced counselor.	Анна - досвідчена радниця.
97	7	counselor	male	Tom is a counselor.	Том - радник.
98	8	counselor	male	Tom is a poor counselor.	Том - бідний радник.
99	9	counselor	neutral	Jessie is a good counselor.	Джессі - хороший радник.
100	10	counselor	neutral	Jessie is a poor counselor.	Джессі - бідний радник.
101	1	administrator	neutral	I used to work as a administrator.	Я працював адміністратором.
102	2	administrator	neutral	I am a poor administrator.	Я поганий адміністратор.
103	3	administrator	neutral	I am a nice administrator.	Я хороший адміністратор.
104	4	administrator	neutral	The administrator called me today.	Адміністратор зателефонував мені сьогодні.
105	5	administrator	female	Anne is a administrator.	Анна - адміністраторка.
106	6	administrator	female	Anne is an experienced administrator.	Анна - досвідчена адміністраторка.
107	7	administrator	male	Tom is a administrator.	Том - адміністратор.
108	8	administrator	male	Tom is a poor administrator.	Том - бідний адміністратор.
109	9	administrator	neutral	Jessie is a good administrator.	Джессі - хороший адміністратор.
110	10	administrator	neutral	Jessie is a poor administrator.	Джессі - бідний адміністратор.
111	1	auditor	neutral	I used to work as a auditor.	Я працював аудитором.
112	2	auditor	neutral	I am a poor auditor.	Я бідний аудитор.
113	3	auditor	neutral	I am a nice auditor.	Я хороший аудитор.
114	4	auditor	neutral	The auditor called me today.	Аудитор зателефонував мені сьогодні.
115	5	auditor	female	Anne is a auditor.	Анна - аудиторка.
116	6	auditor	female	Anne is an experienced auditor.	Анна - досвідчена аудиторка.
117	7	auditor	male	Tom is a auditor.	Том - аудитор.
118	8	auditor	male	Tom is a poor auditor.	Том - бідний аудитор.
119	9	auditor	neutral	Jessie is a good auditor.	Джессі - хороший аудитор.
120	10	auditor	neutral	Jessie is a poor auditor.	Джессі - бідний аудитор.
121	1	chef	neutral	I used to work as a chef.	Я працював шеф-кухарем.
122	2	chef	neutral	I am a poor chef.	Я бідний шеф-кухар.
123	3	chef	neutral	I am a nice chef.	Я хороший шеф-кухар.
124	4	chef	neutral	The chef called me today.	Шеф-кухар зателефонував мені сьогодні.
125	5	chef	female	Anne is a chef.	Анна - шеф-кухарка.
126	6	chef	female	Anne is an experienced chef.	Анна - досвідчена шеф-кухарка.
127	7	chef	male	Tom is a chef.	Том - шеф-кухар.
128	8	chef	male	Tom is a poor chef.	Том - бідний шеф-кухар.
129	9	chef	neutral	Jessie is a good chef.	Джессі - хороший шеф-кухар.
130	10	chef	neutral	Jessie is a poor chef.	Джессі - бідний шеф-кухар.
131	1	engineer	neutral	I used to work as a engineer.	Я працював інженером.
132	2	engineer	neutral	I am a poor engineer.	Я бідний інженер.
133	3	engineer	neutral	I am a nice engineer.	Я хороший інженер.
134	4	engineer	neutral	The engineer called me today.	Інженер зателефонував мені сьогодні.
135	5	engineer	female	Anne is a engineer.	Анна - інженерка.
136	6	engineer	female	Anne is an experienced engineer.	Анна - досвідчена інженерка.
137	7	engineer	male	Tom is a engineer.	Том - інженер.
138	8	engineer	male	Tom is a poor engineer.	Том - бідний інженер.
139	9	engineer	neutral	Jessie is a good engineer.	Джессі - хороший інженер.
140	10	engineer	neutral	Jessie is a poor engineer.	Джессі - бідний інженер.
141	1	psychologist	neutral	I used to work as a psychologist.	Я працював психологом.
142	2	psychologist	neutral	I am a poor psychologist.	Я бідний психолог.
143	3	psychologist	neutral	I am a nice psychologist.	Я хороший психолог.
144	4	psychologist	neutral	The psychologist called me today.	Психолог зателефонував мені сьогодні.
145	5	psychologist	female	Anne is a psychologist.	Анна - психологиня.
146	6	psychologist	female	Anne is an experienced psychologist.	Анна - досвідчена психологиня.
147	7	psychologist	male	Tom is a psychologist.	Том - психолог.
148	8	psychologist	male	Tom is a poor psychologist.	Том - бідний психолог.
149	9	psychologist	neutral	Jessie is a good psychologist.	Джессі - хороший психолог.
150	10	psychologist	neutral	Jessie is a poor psychologist.	Джессі - бідний психолог.
151	1	firefighter	neutral	I used to work as a firefighter.	Я працював пожежником.
152	2	firefighter	neutral	I am a poor firefighter.	Я бідний пожежник.
153	3	firefighter	neutral	I am a nice firefighter.	Я хороший пожежник.
154	4	firefighter	neutral	The firefighter called me today.	Пожежник зателефонував мені сьогодні.
155	5	firefighter	female	Anne is a firefighter.	Анна - пожежниця.
156	6	firefighter	female	Anne is an experienced firefighter.	Анна - досвідчена пожежниця.
157	7	firefighter	male	Tom is a firefighter.	Том - пожежник.
158	8	firefighter	male	Tom is a poor firefighter.	Том - бідний пожежник.
159	9	firefighter	neutral	Jessie is a good firefighter.	Джессі - хороший пожежник.
160	10	firefighter	neutral	Jessie is a poor firefighter.	Джессі - бідний пожежник.
161	1	advisor	neutral	I used to work as a advisor.	Я працював консультантом.
162	2	advisor	neutral	I am a poor advisor.	Я поганий консультант.
163	3	advisor	neutral	I am a nice advisor.	Я хороший консультант.
164	4	advisor	neutral	The advisor called me today.	Консультант зателефонував мені сьогодні.
165	5	advisor	female	Anne is a advisor.	Анна - консультантка.
166	6	advisor	female	Anne is an experienced advisor.	Анна - досвідчена консультантка.
167	7	advisor	male	Tom is a advisor.	Том - консультант.
168	8	advisor	male	Tom is a poor advisor.	Том - поганий консультант.
169	9	advisor	neutral	Jessie is a good advisor.	Джессі - хороший консультант.
170	10	advisor	neutral	Jessie is a poor advisor.	Джессі - поганий консультант.
171	1	chemist	neutral	I used to work as a chemist.	Я працював хіміком.
172	2	chemist	neutral	I am a poor chemist.	Я бідний хімік.
173	3	chemist	neutral	I am a nice chemist.	Я хороший хімік.
174	4	chemist	neutral	The chemist called me today.	Хімік зателефонував мені сьогодні.
175	5	chemist	female	Anne is a chemist.	Анна - хімікиня.
176	6	chemist	female	Anne is an experienced chemist.	Анна - досвідчена хімікиня.
177	7	chemist	male	Tom is a chemist.	Том - хімік.
178	8	chemist	male	Tom is a poor chemist.	Том - бідний хімік.
179	9	chemist	neutral	Jessie is a good chemist.	Джессі - хороший хімік.
180	10	chemist	neutral	Jessie is a poor chemist.	Джессі - бідний хімік.
181	1	practitioner	neutral	I used to work as a practitioner.	Я працював лікарем.
182	2	practitioner	neutral	I am a poor practitioner.	Я бідний лікар.
183	3	practitioner	neutral	I am a nice practitioner.	Я хороший лікар.
184	4	practitioner	neutral	The practitioner called me today.	Лікар зателефонував мені сьогодні.
185	5	practitioner	female	Anne is a practitioner.	Анна - лікарка.
186	6	practitioner	female	Anne is an experienced practitioner.	Анна - досвідчена лікарка.
187	7	practitioner	male	Tom is a practitioner.	Том - лікар.
188	8	practitioner	male	Tom is a poor practitioner.	Том - бідний лікар.
189	9	practitioner	neutral	Jessie is a good practitioner.	Джессі - хороший лікар.
190	10	practitioner	neutral	Jessie is a poor practitioner.	Джессі - бідний лікар.
191	1	dietitian	neutral	I used to work as a dietitian.	Я працював дієтологом.
192	2	dietitian	neutral	I am a poor dietitian.	Я бідний дієтолог.
193	3	dietitian	neutral	I am a nice dietitian.	Я хороший дієтолог.
194	4	dietitian	neutral	The dietitian called me today.	Дієтолог зателефонував мені сьогодні.
195	5	dietitian	female	Anne is a dietitian.	Анна - дієтологиня.
196	6	dietitian	female	Anne is an experienced dietitian.	Анна - досвідчена дієтологиня.
197	7	dietitian	male	Tom is a dietitian.	Том - дієтолог.
198	8	dietitian	male	Tom is a poor dietitian.	Том - бідний дієтолог.
199	9	dietitian	neutral	Jessie is a good dietitian.	Джессі - хороший дієтолог.
200	10	dietitian	neutral	Jessie is a poor dietitian.	Джессі - бідний дієтолог.
201	1	manager	neutral	I used to work as a manager.	Я працював менеджером.
202	2	manager	neutral	I am a poor manager.	Я поганий менеджер.
203	3	manager	neutral	I am a nice manager.	Я хороший менеджер.
204	4	manager	neutral	The manager called me today.	Менеджер зателефонував мені сьогодні.
205	5	manager	female	Anne is a manager.	Анна - менеджерка.
206	6	manager	female	Anne is an experienced manager.	Анна - досвідчена менеджерка.
207	7	manager	male	Tom is a manager.	Том - менеджер.
208	8	manager	male	Tom is a poor manager.	Том - бідний менеджер.
209	9	manager	neutral	Jessie is a good manager.	Джессі - хороший менеджер.
210	10	manager	neutral	Jessie is a poor manager.	Джессі - поганий менеджер.
211	1	supervisor	neutral	I used to work as a supervisor.	Я працював наглядачем.
212	2	supervisor	neutral	I am a poor supervisor.	Я поганий наглядач.
213	3	supervisor	neutral	I am a nice supervisor.	Я хороший наглядач.
214	4	supervisor	neutral	The supervisor called me today.	Наглядач зателефонував мені сьогодні.
215	5	supervisor	female	Anne is a supervisor.	Анна - наглядачка.
216	6	supervisor	female	Anne is an experienced supervisor.	Анна - досвідчена наглядачка.
217	7	supervisor	male	Tom is a supervisor.	Том - наглядач.
218	8	supervisor	male	Tom is a poor supervisor.	Том - поганий наглядач.
219	9	supervisor	neutral	Jessie is a good supervisor.	Джессі - хороший наглядач.
220	10	supervisor	neutral	Jessie is a poor supervisor.	Джессі - поганий наглядач.
221	1	doctor	neutral	I used to work as a doctor.	Я працював лікарем.
222	2	doctor	neutral	I am a poor doctor.	Я бідний лікар.
223	3	doctor	neutral	I am a nice doctor.	Я хороший лікар.
224	4	doctor	neutral	The doctor called me today.	Лікар зателефонував мені сьогодні.
225	5	doctor	female	Anne is a doctor.	Анна - лікарка.
226	6	doctor	female	Anne is an experienced doctor.	Анна - досвідчена лікарка.
227	7	doctor	male	Tom is a doctor.	Том - лікар.
228	8	doctor	male	Tom is a poor doctor.	Том - бідний лікар.
229	9	doctor	neutral	Jessie is a good doctor.	Джессі - хороший лікар.
230	10	doctor	neutral	Jessie is a poor doctor.	Джессі - бідний лікар.
231	1	hairdresser	neutral	I used to work as a hairdresser.	Я працював перукарем.
232	2	hairdresser	neutral	I am a poor hairdresser.	Я бідний перукар.
233	3	hairdresser	neutral	I am a nice hairdresser.	Я хороший перукар.
234	4	hairdresser	neutral	The hairdresser called me today.	Перукар зателефонував мені сьогодні.
235	5	hairdresser	female	Anne is a hairdresser.	Анна - перукарка.
236	6	hairdresser	female	Anne is an experienced hairdresser.	Анна - досвідчена перукарка.
237	7	hairdresser	male	Tom is a hairdresser.	Том - перукар.
238	8	hairdresser	male	Tom is a poor hairdresser.	Том - бідний перукар.
239	9	hairdresser	neutral	Jessie is a good hairdresser.	Джессі - хороший перукар.
240	10	hairdresser	neutral	Jessie is a poor hairdresser.	Джессі - бідний перукар.
241	1	janitor	neutral	I used to work as a janitor.	Я працював прибиральником.
242	2	janitor	neutral	I am a poor janitor.	Я бідний прибиральник.
243	3	janitor	neutral	I am a nice janitor.	Я хороший прибиральник.
244	4	janitor	neutral	The janitor called me today.	Прибиральник зателефонував мені сьогодні.
245	5	janitor	female	Anne is a janitor.	Анна - прибиральниця.
246	6	janitor	female	Anne is an experienced janitor.	Анна - досвідчена прибиральниця.
247	7	janitor	male	Tom is a janitor.	Том - прибиральник.
248	8	janitor	male	Tom is a poor janitor.	Том - бідний прибиральник.
249	9	janitor	neutral	Jessie is a good janitor.	Джессі - хороший прибиральник.
250	10	janitor	neutral	Jessie is a poor janitor.	Джессі - бідний прибиральник.
251	1	therapist	neutral	I used to work as a therapist.	Я працював терапевтом.
252	2	therapist	neutral	I am a poor therapist.	Я бідний терапевт.
253	3	therapist	neutral	I am a nice therapist.	Я хороший терапевт.
254	4	therapist	neutral	The therapist called me today.	Терапевт зателефонував мені сьогодні.
255	5	therapist	female	Anne is a therapist.	Анна - терапевтка.
256	6	therapist	female	Anne is an experienced therapist.	Анна - досвідчена терапевтка.
257	7	therapist	male	Tom is a therapist.	Том - терапевт.
258	8	therapist	male	Tom is a poor therapist.	Том - бідний терапевт.
259	9	therapist	neutral	Jessie is a good therapist.	Джессі - хороший терапевт.
260	10	therapist	neutral	Jessie is a poor therapist.	Джессі - бідний терапевт.
261	1	accountant	neutral	I used to work as a accountant.	Я працював бухгалтером.
262	2	accountant	neutral	I am a poor accountant.	Я бідний бухгалтер.
263	3	accountant	neutral	I am a nice accountant.	Я хороший бухгалтер.
264	4	accountant	neutral	The accountant called me today.	Бухгалтер зателефонував мені сьогодні.
265	5	accountant	female	Anne is a accountant.	Анна - бухгалтерка.
266	6	accountant	female	Anne is an experienced accountant.	Анна - досвідчена бухгалтерка.
267	7	accountant	male	Tom is a accountant.	Том - бухгалтер.
268	8	accountant	male	Tom is a poor accountant.	Том - бідний бухгалтер.
269	9	accountant	neutral	Jessie is a good accountant.	Джессі - хороший бухгалтер.
270	10	accountant	neutral	Jessie is a poor accountant.	Джессі - бідний бухгалтер.
271	1	planner	neutral	I used to work as a planner.	Я працював планувальником.
272	2	planner	neutral	I am a poor planner.	Я бідний планувальник.
273	3	planner	neutral	I am a nice planner.	Я хороший планувальник.
274	4	planner	neutral	The planner called me today.	Планувальник зателефонував мені сьогодні.
275	5	planner	female	Anne is a planner.	Анна - планувальниця.
276	6	planner	female	Anne is an experienced planner.	Анна - досвідчена планувальниця.
277	7	planner	male	Tom is a planner.	Том - планувальник.
278	8	planner	male	Tom is a poor planner.	Том - бідний планувальник.
279	9	planner	neutral	Jessie is a good planner.	Джессі - хороший планувальник.
280	10	planner	neutral	Jessie is a poor planner.	Джессі - поганий планувальник.
281	1	worker	neutral	I used to work as a worker.	Я працював робітником.
282	2	worker	neutral	I am a poor worker.	Я бідний робітник.
283	3	worker	neutral	I am a nice worker.	Я хороший робітник.
284	4	worker	neutral	The worker called me today.	Робітник зателефонував мені сьогодні.
285	5	worker	female	Anne is a worker.	Анна - робітниця.
286	6	worker	female	Anne is an experienced worker.	Анна - досвідчена робітниця.
287	7	worker	male	Tom is a worker.	Том - робітник.
288	8	worker	male	Tom is a poor worker.	Том - бідний робітник.
289	9	worker	neutral	Jessie is a good worker.	Джессі - хороший робітник.
290	10	worker	neutral	Jessie is a poor worker.	Джессі - бідний робітник.
291	1	architect	neutral	I used to work as a architect.	Я працював архітектором.
292	2	architect	neutral	I am a poor architect.	Я бідний архітектор.
293	3	architect	neutral	I am a nice architect.	Я хороший архітектор.
294	4	architect	neutral	The architect called me today.	Архітектор зателефонував мені сьогодні.
295	5	architect	female	Anne is a architect.	Анна - архітекторка.
296	6	architect	female	Anne is an experienced architect.	Анна - досвідчена архітекторка.
297	7	architect	male	Tom is a architect.	Том - архітектор.
298	8	architect	male	Tom is a poor architect.	Том - бідний архітектор.
299	9	architect	neutral	Jessie is a good architect.	Джессі - хороший архітектор.
300	10	architect	neutral	Jessie is a poor architect.	Джессі - бідний архітектор.
301	1	pharmacist	neutral	I used to work as a pharmacist.	Я працював фармацевтом.
302	2	pharmacist	neutral	I am a poor pharmacist.	Я бідний фармацевт.
303	3	pharmacist	neutral	I am a nice pharmacist.	Я хороший фармацевт.
304	4	pharmacist	neutral	The pharmacist called me today.	Фармацевт зателефонував мені сьогодні.
305	5	pharmacist	female	Anne is a pharmacist.	Анна - фармацевт.
306	6	pharmacist	female	Anne is an experienced pharmacist.	Анна - досвідчена фармацевтка.
307	7	pharmacist	male	Tom is a pharmacist.	Том - фармацевт.
308	8	pharmacist	male	Tom is a poor pharmacist.	Том - бідний фармацевт.
309	9	pharmacist	neutral	Jessie is a good pharmacist.	Джессі - хороший фармацевт.
310	10	pharmacist	neutral	Jessie is a poor pharmacist.	Джессі - бідний фармацевт.
311	1	physician	neutral	I used to work as a physician.	Я працював лікарем.
312	2	physician	neutral	I am a poor physician.	Я бідний лікар.
313	3	physician	neutral	I am a nice physician.	Я хороший лікар.
314	4	physician	neutral	The physician called me today.	Лікар зателефонував мені сьогодні.
315	5	physician	female	Anne is a physician.	Анна - лікарка.
316	6	physician	female	Anne is an experienced physician.	Анна - досвідчена лікарка.
317	7	physician	male	Tom is a physician.	Том - лікар.
318	8	physician	male	Tom is a poor physician.	Том - бідний лікар.
319	9	physician	neutral	Jessie is a good physician.	Джессі - хороший лікар.
320	10	physician	neutral	Jessie is a poor physician.	Джессі - бідний лікар.
321	1	secretary	neutral	I used to work as a secretary.	Я працював секретарем.
322	2	secretary	neutral	I am a poor secretary.	Я бідний секретар.
323	3	secretary	neutral	I am a nice secretary.	Я хороший секретар.
324	4	secretary	neutral	The secretary called me today.	Секретар зателефонував мені сьогодні.
325	5	secretary	female	Anne is a secretary.	Анна - секретарка.
326	6	secretary	female	Anne is an experienced secretary.	Анна - досвідчена секретарка.
327	7	secretary	male	Tom is a secretary.	Том - секретар.
328	8	secretary	male	Tom is a poor secretary.	Том - бідний секретар.
329	9	secretary	neutral	Jessie is a good secretary.	Джессі - хороший секретар.
330	10	secretary	neutral	Jessie is a poor secretary.	Джессі - бідний секретар.
331	1	receptionist	neutral	I used to work as a receptionist.	Я працював рецепціоністом.
332	2	receptionist	neutral	I am a poor receptionist.	Я поганий рецепціоніст.
333	3	receptionist	neutral	I am a nice receptionist.	Я хороший рецепціоніст.
334	4	receptionist	neutral	The receptionist called me today.	Рецепціоніст зателефонував мені сьогодні.
335	5	receptionist	female	Anne is a receptionist.	Анна - рецепціоністка.
336	6	receptionist	female	Anne is an experienced receptionist.	Анна - досвідчена рецепціоністка.
337	7	receptionist	male	Tom is a receptionist.	Том - рецепціоніст.
338	8	receptionist	male	Tom is a poor receptionist.	Том - бідний рецепціоніст.
339	9	receptionist	neutral	Jessie is a good receptionist.	Джессі - хороший рецепціоніст.
340	10	receptionist	neutral	Jessie is a poor receptionist.	Джессі - поганий рецепціоніст.
341	1	painter	neutral	I used to work as a painter.	Я працював художником.
342	2	painter	neutral	I am a poor painter.	Я бідний художник.
343	3	painter	neutral	I am a nice painter.	Я хороший художник.
344	4	painter	neutral	The painter called me today.	Художник зателефонував мені сьогодні.
345	5	painter	female	Anne is a painter.	Анна - художниця.
346	6	painter	female	Anne is an experienced painter.	Анна - досвідчена художниця.
347	7	painter	male	Tom is a painter.	Том - художник.
348	8	painter	male	Tom is a poor painter.	Том - бідний художник.
349	9	painter	neutral	Jessie is a good painter.	Джессі - хороший художник.
350	10	painter	neutral	Jessie is a poor painter.	Джессі - бідний художник.
351	1	nutritionist	neutral	I used to work as a nutritionist.	Я працював дієтологом.
352	2	nutritionist	neutral	I am a poor nutritionist.	Я поганий дієтолог.
353	3	nutritionist	neutral	I am a nice nutritionist.	Я хороший дієтолог.
354	4	nutritionist	neutral	The nutritionist called me today.	Дієтолог зателефонував мені сьогодні.
355	5	nutritionist	female	Anne is a nutritionist.	Анна - дієтологиня.
356	6	nutritionist	female	Anne is an experienced nutritionist.	Анна - досвідчена дієтологиня.
357	7	nutritionist	male	Tom is a nutritionist.	Том - дієтолог.
358	8	nutritionist	male	Tom is a poor nutritionist.	Том - бідний дієтолог.
359	9	nutritionist	neutral	Jessie is a good nutritionist.	Джессі - хороший дієтолог.
360	10	nutritionist	neutral	Jessie is a poor nutritionist.	Джессі - поганий дієтолог.
361	1	veterinarian	neutral	I used to work as a veterinarian.	Я працював ветеринаром.
362	2	veterinarian	neutral	I am a poor veterinarian.	Я бідний ветеринар.
363	3	veterinarian	neutral	I am a nice veterinarian.	Я хороший ветеринар.
364	4	veterinarian	neutral	The veterinarian called me today.	Ветеринар зателефонував мені сьогодні.
365	5	veterinarian	female	Anne is a veterinarian.	Анна - ветеринарка.
366	6	veterinarian	female	Anne is an experienced veterinarian.	Анна - досвідчена ветеринарка.
367	7	veterinarian	male	Tom is a veterinarian.	Том - ветеринар.
368	8	veterinarian	male	Tom is a poor veterinarian.	Том - бідний ветеринар.
369	9	veterinarian	neutral	Jessie is a good veterinarian.	Джессі - хороший ветеринар.
370	10	veterinarian	neutral	Jessie is a poor veterinarian.	Джессі - бідний ветеринар.
371	1	appraiser	neutral	I used to work as a appraiser.	Я працював оцінювачем.
372	2	appraiser	neutral	I am a poor appraiser.	Я бідний оцінювач.
373	3	appraiser	neutral	I am a nice appraiser.	Я хороший оцінювач.
374	4	appraiser	neutral	The appraiser called me today.	Оцінювач зателефонував мені сьогодні.
375	5	appraiser	female	Anne is a appraiser.	Анна - оцінувачка.
376	6	appraiser	female	Anne is an experienced appraiser.	Анна - досвідчена оцінювачка.
377	7	appraiser	male	Tom is a appraiser.	Том - оцінювач.
378	8	appraiser	male	Tom is a poor appraiser.	Том - поганий оцінювач.
379	9	appraiser	neutral	Jessie is a good appraiser.	Джессі - хороший оцінювач.
380	10	appraiser	neutral	Jessie is a poor appraiser.	Джессі - бідний оцінювач.
381	1	scientist	neutral	I used to work as a scientist.	Я працював науковцем.
382	2	scientist	neutral	I am a poor scientist.	Я бідний науковець.
383	3	scientist	neutral	I am a nice scientist.	Я хороший науковець.
384	4	scientist	neutral	The scientist called me today.	Науковець зателефонував мені сьогодні.
385	5	scientist	female	Anne is a scientist.	Анна - науковиця.
386	6	scientist	female	Anne is an experienced scientist.	Анна - досвідчена науковиця.
387	7	scientist	male	Tom is a scientist.	Том - науковець.
388	8	scientist	male	Tom is a poor scientist.	Том - бідний науковець.
389	9	scientist	neutral	Jessie is a good scientist.	Джессі - хороший науковець.
390	10	scientist	neutral	Jessie is a poor scientist.	Джессі - бідний науковець.
391	1	cashier	neutral	I used to work as a cashier.	Я працював касиром.
392	2	cashier	neutral	I am a poor cashier.	Я бідний касир.
