Tagged EN,ukr_reference
<neutral> Are you studying chemistry?,Ви вивчаєте хімію?
<neutral> Are you the doctor?,Ви - той лікар?
<neutral> Are you the pathologist?,Ви патолог?
<neutral> Are you the pathologist?,Ти патолог?
<neutral> Ask your doctors.,Запитайте своїх лікарів.
<female> A teacher should never make fun of a pupil who makes a mistake.,"Вчитель ніколи не повинен сміятися над учнем, який припустився помилки."
<neutral> A true scientist would not think like that.,Справжній вчений не думав би таким чином.
<neutral> A true scientist wouldn't think like that.,Справжній учений так не мислив би.
"<neutral> At the end of 2012, the Belarusian president re-introduced serfdom by forbidding the workers of Borisovdrev to quit their jobs.","У кінці 2012 року президент Білорусі знов увів кріпацтво, заборонивши працівникам Борисовдрева звільнятися."
"<female> Belarus has been described by former US secretary of state Condoleezza Rice as ""the last remaining true dictatorship in the heart of Europe"".",Колишній держсекретар США Кондоліза Райс описала Білорусь як «останню справжню диктатуру в самому центрі Європи».
<male> Bob became an engineer.,Боб став інженером.
<neutral> Both of Tom's parents are teachers.,Батьки Тома — вчителі.
<neutral> Both of Tom's parents are teachers.,Обоє батьки Тома — вчителі.
<neutral> Both of Tom's parents were teachers.,Батьки Тома були вчителями.
<female> Both Tom and Mary are carpenters.,"І Том, І Мері — теслі."
<female> Both Tom and Mary are therapists.,Том та Мері обоє терапевти.
<neutral> Call a doctor immediately.,Негайно зателефонуй до лікаря.
<neutral> Call a doctor immediately.,Негайно зателефонуйте до лікаря.
<neutral> Call a doctor.,Виклич лікаря.
<neutral> Call a doctor.,Викличте лікаря.
<neutral> Call a doctor.,Зателефонуй до лікаря.
<neutral> Call a doctor.,Зателефонуйте до лікаря.
<neutral> Call the manager.,Покличте керівника.
<neutral> Can I speak to the doctor?,Я можу поговорити з лікарем?
<neutral> Can I speak to your supervisor?,Я можу поговорити з вашим начальником?
<neutral> Can the doctor see me this week?,Чи може лікар прийняти мене цього тижня?
<neutral> Can the lawyer see me on Friday?,Чи може адвокат зустрітися зі мною у п'ятницю?
"<neutral> Can you call a doctor, please?","Ти не міг би викликати лікаря, будь ласка?"
<neutral> Can you recommend a good doctor?,Ви можете порекомендувати доброго лікаря?
<neutral> Can you recommend a good lawyer?,Можеш порекомендувати доброго адвоката?
<neutral> Can you remember your nursery teacher's name?,"Ти пам'ятаєш, як звали твою виховательку в дитячому садку?"
<female> Can your French teacher speak English?,Ваш учитель французької говорить англійською?
<female> Can your French teacher speak English?,Твій учитель французької говорить англійською?
<neutral> Compare your answers with the teacher's.,Порівняй свої відповіді з відповідями вчителя.
<neutral> Compare your answers with the teacher's.,Порівняйте свої відповіді з відповідями вчителя.
<neutral> Could you give me the name and phone number of a doctor?,Можете мені дати ім'я та номер телефону лікаря?
<male> Dan didn't even think to ask permission from his manager.,Ден навіть не подумав попросити дозволу у свого керівника.
"<neutral> Dao is like a broad road, is it difficult to discover? The problem is that people are not looking for it. If you return to the search, you will find plenty of teachers.","Отже, Дао - це як велика дорога. Хіба її важко знайти? Єдина біда - що люди не шукають. Якщо ти повернешся до пошуку, знайдеш вдосталь вчителів."
<neutral> Death is a great instructor.,Смерть є великим інструктором.
<male> Did he look like a doctor?,Він був схожий на лікаря?
<neutral> Did I mention Tom was a doctor?,"Я згадував, що Том - лікар?"
<neutral> Did I mention Tom was a doctor?,"Я згадувала, що Том - лікар?"
<female> Didn't you know that Tom is a French teacher?,"Ви не знали, що Том — викладач французької?"
<female> Didn't you know that Tom is a French teacher?,"Ти не знав, що Том — викладач французької?"
<female> Didn't you know that Tom is a French teacher?,"Ти не знала, що Том — викладач французької?"
<female> Didn't you know Tom is a French teacher?,"Ви не знали, що Том — викладач французької?"
<female> Didn't you know Tom is a French teacher?,"Ти не знав, що Том — викладач французької?"
<female> Didn't you use to be a teacher?,Ви хіба раніше не були вчителем?
<female> Didn't you use to be a teacher?,Ви хіба раніше не були вчителькою?
<female> Didn't you use to be a teacher?,Ти хіба раніше не був учителем?
<female> Didn't you use to be a teacher?,Ти хіба раніше не була вчителем?
<female> Didn't you use to be a teacher?,Ти хіба раніше не була вчителькою?
<neutral> Did you call the doctor?,Ви викликали лікаря?
<neutral> Did you call the doctor?,Ти викликав лікаря?
<neutral> Did you call the doctor?,Ти викликала лікаря?
<neutral> Did you find a doctor?,Ви знайшли лікаря?
<neutral> Did you find a doctor?,Ти знайшла лікаря?
<neutral> Did you find a doctor?,Ти знайшов лікаря?
<neutral> Did you see a doctor?,Ти був у лікаря?
<neutral> Did you see a doctor?,Ти була у лікаря?
"<neutral> Doctor, help me!","Лікарю, допоможіть мені!"
"<neutral> Doctor, I have memory problems.","Лікарю, у мене проблеми з пам'яттю."
"<neutral> Doctor, it's the wrong leg!","Лікарю, ви помилилися ногою!"
"<neutral> Doctor, it's the wrong leg!","Лікарю, це не та нога!"
"<neutral> Doctor, my stomach hurts.","Лікарю, мені болить живіт."
"<neutral> Doctor, my stomach hurts.","Лікарю, у мене болить шлунок."
<neutral> Doctors save lives.,Лікарі рятують життя.
<neutral> Doctors take an oath not to harm anyone.,Лікарі складають клятву нікому не нашкодити.
<female> Doctors write prescriptions in the same kind of language in which electric train drivers announce stations.,"Лікарі виписують рецепти на тій же мові, на якій машиністи в електричках об’являють зупинки."
<neutral> Does Tom need a doctor?,Тому потрібний лікар?
<neutral> Don't you want to talk to a lawyer?,Хіба ти не хочеш поговорити з адвокатом?
<female> Do you have a doctor or nurse in this hotel?,Чи є в готелі лікар че медсестра?
<neutral> Do you have a lawyer?,Ви маєте адвоката?
<neutral> Do you have a lawyer?,Ти маєш адвоката?
<neutral> Do you have a lawyer?,У вас є адвокат?
<neutral> Do you have a lawyer?,У тебе є адвокат?
<neutral> Do you need a lawyer?,Вам потрібен адвокат?
<female> Do you prefer a male or female doctor?,Тобі більше до вподоби лікар чоловік чи жінка?
<neutral> Do you study chemistry?,Ви вивчаєте хімію?
<neutral> Do you study chemistry?,Ти вивчаєш хімію?
<neutral> Edgar Degas was luckier than many painters.,"Едґару Деґа щастило більше, ніж багатьом іншим художникам."
<female> Educators should respect learners' mother tongue.,Працівникам освіти слід поважати рідну мову учнів.
"<male> Even now, the typical worker's whole life is still bound up with the company he works for.","Навіть зараз, все життя типового працівника все ще пов'язане з компанією, на яку він працює."
<male> Evolution is a tinkerer and not an engineer.,"Еволюція — лудильник, а не інженер."
<female> Experience is a good teacher.,Досвід - добрий учитель.
<female> Experience is the best teacher.,Досвід — найкращий учитель.
<female> Fuck this teacher with his new rules.,До біса з цим учителем та його новими правилами.
"<neutral> Good morning, doctor!","Доброго ранку, лікаре!"
<neutral> Go to the doctor at once!,Відразу йди до лікаря!
<neutral> Go to the doctor to get your prescription!,Сходи до лікаря і забери свій рецепт!
<female> Guess who Tom's French teacher was?,"Вгадай, хто був викладачем французької Тома?"
<female> Has our teacher been to Germany?,Наша вчителька бувала в Німеччині?
<neutral> Have you ever complained to the manager?,Ти колись скаржився керівнику?
<female> Have you ever met Tom's French teacher?,Ти колись зустрічав учителя французької Тома?
<neutral> Have you ever worked as a bartender before?,Ви раніше коли-небудь працювали барменом?
<neutral> Have you ever worked as a bartender before?,Ти раніше коли-небудь працював барменом?
<female> Have you made up your mind to become a teacher?,Ви вирішили стати вчителем?
<neutral> Have you talked to a lawyer about this?,Ти обговорив це з адвокатом?
<neutral> Have you talked to a lawyer about this?,Ти обговорила це з адвокатом?
<male> He doesn't trust the doctor any more.,Він уже не довіряє лікарю.
<male> He doesn't trust the doctor any more.,Він уже не йме віри лікареві.
<male> He had a good lawyer.,У нього був добрий адвокат.
<female> He had to part with his secretary because she got married.,"Він мусив попрощатися зі своєю секретаркою, бо вона завагітніла."
<male> He has lost faith in the doctor.,Він уже не довіряє лікарю.
<male> He hired some new workers.,Він взяв на роботу кілька нових співробітників.
<male> He is a cashier at a supermarket.,Він касир у супермаркеті.
<male> He is actually not the manager.,Він насправді не керівник.
<male> He is a doctor and an author.,"Він лікар, а ще письменник."
<male> He is a doctor.,Він лікар.
<male> He is a good doctor.,Він добрий лікар.
<male> He is a great scientist.,Він великий вчений.
<male> He is a great scientist.,Він чудовий учений.
<female> He is always finding fault with the work of his secretary.,Він завжди знаходить недоліки в роботі його секретарки.
<male> He is an able engineer.,Він талановитий інженер.
<male> He is an able lawyer.,Він талановитий адвокат.
<female> He is an English teacher.,Він викладач англійської.
<female> He is an experienced teacher.,Він досвідчений викладач.
<female> He is an experienced teacher.,Він досвідчений учитель.
<male> He is an expert lawyer.,Він досвідчений адвокат.
<male> He is a painter.,Він художник.
<male> He is a scientist and musician.,Він науковець та музикант.
<male> He is a scientist.,Він вчений.
<male> He is a scientist.,Він науковець.
<female> He is a teacher at our school.,Він учитель в нашій школі.
<female> He is a teacher of English.,Він викладач англійської.
<female> He is a teacher of the Italian language.,Він викладач італійської.
<female> He is a teacher of the Italian language.,Він викладач італійської мови.
<female> He is a teacher of the Italian language.,Він учитель італійської мови.
<female> He is a teacher.,Він вчитель.
<male> He is famous as a good doctor.,Він відомий як відмінний лікар.
<male> He is going to become a doctor.,Він стане лікарем.
<female> He is my teacher.,Він мій викладач.
<female> He is my teacher.,Це мій викладач.
<female> He is my teacher.,Це мій вчитель.
<male> He is no good as a lawyer.,Він поганий адвокат.
<male> He is not a doctor.,Він не лікар.
<male> He is not a physician.,Він не лікар.
<male> He is nothing more than a clerk.,Він всього-навсього службовець.
<male> He isn't actually the manager.,"Він, насправді, не начальник."
<female> He is our English teacher.,Він наш викладач англійської.
<female> He is our English teacher.,Він наш учитель англійської.
<female> He is our teacher of English.,Він наш учитель англійської.
<male> He is proud of being a doctor.,"Він пишається тим, що він лікар."
<male> He is said to be a great scientist.,Він вважається великим вченим.
<male> He knows how to argue with the manager.,"Він знає, як сперечатися з начальником."
<male> He knows how to argue with the manager.,Він уміє сперечатися з начальником.
<female> He likes that teacher.,Йому подобається вчитель.
<male> He looked like a doctor.,Він був схожий на лікаря.
<female> He made her his secretary.,Він назначив її своєю секретаркою.
<female> He made her his secretary.,Він назначив її своїм секретарем.
<male> He made up his mind to be a doctor.,Він вирішив бути лікарем.
<male> He needs a lawyer.,Йому потрібен адвокат.
<female> He or she is a programmer.,Він чи вона - програміст.
<male> He pretended that he was a lawyer.,Він вдавав із себе адвоката.
<male> He pretended that he was a lawyer.,Він вдавав із себе юриста.
<male> He proposed to send for the doctor.,Він запропонував послати когось за лікарем.
<male> He proposed to send for the doctor.,Він запропонував послати по лікаря.
<female> Her doctor wants to refer her to a specialist.,"Її лікар хоче, щоб вона показалася спеціалісту."
<female> Her dream is to become a nurse.,Її мрія — стати медсестрою.
"<female> Here comes our teacher, Robert Brown.","А ось і наш учитель, Роберт Браун."
<female> Her wife is our Italian teacher.,Її дружина — наша вчителька італійської.
<neutral> He's a bartender.,Він бармен.
<neutral> He's a doctor.,Він лікар.
<neutral> He's a good lawyer.,Він добрий адвокат.
<neutral> He's a great scientist.,Він великий вчений.
<neutral> He's an excellent brain surgeon.,Він чудовий нейрохірург.
<female> He's an Italian teacher.,Він учитель з Італії.
<female> He's an Italian teacher.,Він учитель італійської.
<female> He's a passive-aggressive teacher.,Він пасивно-агресивний учитель.
<neutral> He's a police officer.,Він офіцер поліції.
<neutral> He's a police officer.,Він поліцейський.
<neutral> He's a programmer.,Він програміст.
<female> He's a self-centered asshole that everybody calls teacher.,"Він егоцентричний мудак, якого всі називають учителем."
<male> He saw a physician.,Він відвідав лікаря.
<neutral> He's a world-class scientist.,Вiн - науковець мiжнародного рiвня.
<female> He's been working as a teacher for twenty years.,Він працює учителем уже двадцять років.
<neutral> He's considered to be one of the greatest scientists in the world.,Він вважається одним із найвидатніших учених світу.
<male> He sent for a doctor.,Він послав по лікаря.
<neutral> He's just an ordinary office worker.,Він звичайний офісний працівник.
<neutral> He's just an ordinary office worker.,Він лише звичайний офісний працівник.
<neutral> He's my lawyer.,Він мій адвокат.
<neutral> He's no doctor.,Він не лікар.
<neutral> He's not a doctor.,Він не лікар.
<male> He studied electromechanics and Buddhism at the local university.,Він вивчав електромеханіку та буддизм у місцевому університеті.
<male> He told me that he'd like to become a scientist.,"Він розповів, що хотів би стати науковцем."
<female> He was my math teacher.,Він був моїм викладачем математики.
<female> He was my math teacher.,Він був моїм учителем математики.
<female> He was promoted to the position of head teacher.,Його підвищили до посади завуча.
<female> He will be a good teacher.,Він стане хорошим викладачем.
<male> He will make a good doctor.,Він буде гарним доктором.
<female> He will present a book to his teacher.,Він подарує книжку своєму вчителю.
<male> He wishes to become a doctor.,Він хоче стати лікарем.
<male> His aim is to become a lawyer.,Його мета — стати адвокатом.
<female> His daughter is a nurse.,Його донька — медсестра.
<female> His daughter is a nurse.,Його дочка — медсестра.
"<male> His doctors told him that he would see, hear, and taste as before.","Його лікарі сказали йому, що він бачитеме, чутиме і відчуватиме смак так само як і до того."
<male> His doctor told him not to drink alcohol.,Лікар порадив йому не пити алкоголь.
<female> His mother is an English teacher.,Його мати - вчителька англійської.
<female> His sister became a doctor.,Його сестра стала лікарем.
<male> His sons want to be lawyers.,Його сини хочуть бути адвокатами.
<female> History is the teacher of life.,Історія — вчителька життя.
<neutral> How did you end up being Tom's manager?,"Як там вийшло, що ви стали начальником Тома?"
<female> How long have you been a teacher here?,Як довго ви були тут учителем?
<neutral> How long were you the manager?,Скільки часом ви були начальником?
<neutral> How long were you the manager?,Скільки часом ти був керівником?
<neutral> How many teachers do you know?,Скільки ви знаєте викладачів?
<neutral> How many teachers do you know?,Скільки ти знаєш викладачів?
<neutral> How much do police officers make?,Скільки заробляють поліцейські?
<neutral> How much do teachers make?,Скільки заробляють викладачі?
<neutral> How much do teachers make?,Скільки заробляють учителі?
<neutral> I advise you to listen to your doctor.,Раджу тобі послухатися лікаря.
<neutral> I aim to be a doctor when I grow up.,"Я планую стати лікарем, коли виросту."
<female> I always wanted to be a teacher.,Я завжди хотів бути викладачем.
<male> I am a carpenter.,Я тесляр.
<neutral> I am a doctor.,Я лікар.
<neutral> I am a German architect.,Я німецький архітектор.
<female> I am an English teacher.,Я викладач англійської.
<neutral> I am an office worker.,Я офісний працівник.
<neutral> I am a social worker.,Я соціальний працівник.
"<female> I am a teacher, not a student.","Я викладач, а не студент."
"<female> I am a teacher, not a student.","Я вчитель, а не учень."
"<neutral> ""I am a teacher."" ""So am I.""","""Я вчитель."" ""І я також."""
"<female> I am a teacher, too.",Я теж учитель.
<female> I am a teacher.,Я викладач.
<female> I am a teacher.,Я вчитель.
<neutral> I am determined to be a scientist.,Я вирішив бути науковцем.
<neutral> I am going to be a doctor.,Я буду лікарем.
"<female> I am not a doctor, but a teacher.","Я не лікар, а вчитель."
<neutral> I am not a doctor.,Я не лікар.
<neutral> I am not a lawyer.,Я не адвокат.
<female> I am not a teacher.,Я не вчитель.
<neutral> I am proud of being a doctor.,"Я пишаюся тим, що я - лікар."
"<neutral> “I appreciate that they put a Chinese character in that game, and the fact that she’s a scientist and she’s smart. She’s helping save the world,” Ye said.","«Мені приємно, що в гру додали героїню-китаянку, що вона науковець і вона розумна. Вона допомогає врятувати світ», — сказала Є."
<female> I asked my teacher what to do next.,"Я запитав свого вчителя, що робити далі."
<female> I became a teacher when I was thirty.,"Я став учителем, коли мені було тридцять."
<male> I believe he is not a lawyer.,"Мені здається, він не адвокат."
<neutral> I called a doctor.,Я викликав лікаря.
<neutral> I called a doctor.,Я зателефонував лікарю.
<neutral> I called my manager.,Я зателефонував начальникові.
<neutral> I called my manager.,Я покликав начальника.
<neutral> I cannot interrupt the manager. He's gonna fire me!,Я не можу перебивати начальника. Він мене звільнить!
<male> I consider him a great scientist.,Я вважаю його великим науковцем.
"<female> I'd be a good teacher, I think.","Гадаю, я був би добрим учителем."
"<female> I'd be a good teacher, I think.","Думаю, з мене вийшла би добра вчителька."
<neutral> I'd call a doctor if I were you.,На вашому місці я би зателефонував лікарю.
<neutral> I'd call a doctor if I were you.,На твоєму місці я би зателефонував лікарю.
<neutral> I decided to be a doctor.,Я вирішив бути лікарем.
<neutral> I decided to be a doctor.,Я вирішив стати лікарем.
<neutral> I decided to be a doctor.,Я вирішила бути лікарем.
<neutral> I decided to be a doctor.,Я вирішила стати лікарем.
<neutral> I decided to become a doctor.,Я вирішив бути лікарем.
<neutral> I decided to become a doctor.,Я вирішив стати лікарем.
<neutral> I decided to become a doctor.,Я вирішила бути лікарем.
<neutral> I decided to become a doctor.,Я вирішила стати лікарем.
<female> I didn't know that Tom used to be a French teacher.,"Я не знав, що Том колись був викладачем французької."
<female> I didn't like my French teacher.,Мені не подобається мій учитель французької.
<neutral> I'd like to come to see the doctor as soon as possible.,Я хотів би якомога швидше побачити лікаря.
<neutral> I'd like to speak to your manager.,Я хотів би поговорити з вашим керівником.
<neutral> I'd like to speak to your manager.,Я хотіла би поговорити з вашим керівництвом.
<neutral> I'd like to talk to the manager.,Я хотів би побалакати з менеджером.
<neutral> I'd like to talk to the manager.,Я хотіла би поговорити з керівником.
<neutral> I do not need a lawyer.,Мені не потрібен адвокат.
<male> I don't believe he is a lawyer.,"Мені здається, він не адвокат."
<male> I don't believe he is a lawyer.,"Я не вірю, що він адвокат."
<neutral> I don't believe he's a lawyer.,"Мені здається, він не адвокат."
<neutral> I don't believe he's a lawyer.,"Я не вірю, що він адвокат."
<male> I don't know if he is a doctor.,"Я не знаю, лікар він чи ні."
<neutral> I don't know if he's a doctor.,"Я не знаю, лікар він чи ні."
<neutral> I don't know who any of Tom's teachers are.,Я не знаю нікого з учителів Тома.
<neutral> I don't like doctors.,Я не люблю лікарів.
<neutral> I don't need a lawyer.,Я не потребую адвоката.
<neutral> I don't need a manager yet.,Мені поки що не потрібен менеджер.
<female> I don't understand what the teacher said.,"Я не розумію, що сказав учитель."
<female> I don't want to be a nurse any more.,Я більше не хочу бути медбратом.
<female> I don't want to be a nurse any more.,Я більше не хочу бути медсестрою.
<female> I enjoy being a teacher.,Мене подобається бути учителем.
"<female> If her temperature goes up, send for the doctor.","Якщо в неї підвищиться температура, покличте лікаря."
<female> I go monthly to the hairdresser.,Я ходжу до перукаря щомісяця.
<neutral> I got this job with my teacher's help.,Я отримав цю роботу за допомогою свого вчителя.
<female> I had a wonderful teacher.,У мене прекрасний учитель.
"<male> I had words with the manager of that store, because he refused to refund my money for the TV set that wasn't operating properly.","Я перемовив із менеджером того магазину, тому що він відмовився повернути гроші за телевізор, який не працював як слід."
<neutral> I hate chemistry.,Я не люблю хімію.
<neutral> I hate chemistry.,Я ненавиджу хімію.
<neutral> I hate lawyers.,Я ненавиджу адвокатів.
<male> I have a brother who's an architect.,У мене є брат-архітектор.
<neutral> I have a feeling you'll be a very good lawyer.,"У мене таке відчуття, що ви будете дуже добрим адвокатом."
<neutral> I have a feeling you'll be a very good lawyer.,"У мене таке відчуття, що ти будеш дуже добрим адвокатом."
<female> I have a friend whose father is a teacher.,"У мене є друг, чий батько - вчитель."
<neutral> I have a good lawyer.,У мене добрий адвокат.
<neutral> I have a good lawyer.,У мене є добрий адвокат.
<female> I have a great teacher.,У мене прекрасний учитель.
<female> I have a great teacher.,У мене чудовий учитель.
"<neutral> I have a stomachache, doctor.","Докторе, в мене болить живіт."
"<neutral> I have a stomachache, doctor.","Лікарю, мені болить живіт."
<female> I have a wonderful teacher.,У мене чудовий вчитель.
<female> I have a wonderful teacher.,У мене чудовий учитель.
<neutral> I have great belief in the doctor.,Я дуже вірю в цього лікаря.
<neutral> I have lost faith in the doctor.,Я втратив довіру до лікаря.
<neutral> I haven't seen a doctor.,Я не була у лікаря.
<neutral> I have the feeling that you'll be a very good lawyer.,"У мене таке відчуття, що ви будете дуже добрим адвокатом."
<neutral> I have the feeling that you'll be a very good lawyer.,"У мене таке відчуття, що ти будеш дуже добрим адвокатом."
<neutral> I have the feeling you'll be a very good lawyer.,"У мене таке відчуття, що ви будете дуже добрим адвокатом."
<neutral> I have the feeling you'll be a very good lawyer.,"У мене таке відчуття, що ти будеш дуже добрим адвокатом."
<neutral> I have to go to the doctor today.,Мені сьогодні треба піти до лікаря.
<neutral> I have wanted to be a painter for a long time.,Я давно хотів стати художником.
<female> I hear that Tom is now a teacher.,"Я чув, що Том тепер учитель."
<female> I hear that Tom is now a teacher.,"Я чула, що Том тепер учитель."
"<neutral> I hope to make clear why I think Emmet's theory, originally introduced in the field of design architecture, is so important in physics.","Я сподіваюсь пояснити, чому, на мій погляд, теорія Емета, первісно застосована при проектуванні у архітектурі, настільки важлива у фізиці."
<female> I intended to have become a teacher.,Я мала намір стати вчителькою.
<female> I intended to have become a teacher.,Я хотів стати вчителем.
<female> I intended to have been a teacher.,Я хотів стати вчителем.
<neutral> I intend to become a lawyer.,Я маю намір стати адвокатом.
<neutral> I knew it would be hot in the auditorium.,"Я знав, що в аудиторії буде спекотно."
<female> I know that you are a teacher.,"Я знаю, що ви вчитель."
<female> I know that you are a teacher.,"Я знаю, що ти вчитель."
<female> I know that you're a teacher.,"Я знаю, що ти вчитель."
<neutral> I know that you want to become a doctor.,"Я знаю, що ви хочете стати лікарем."
<female> I know you're a teacher.,"Я знаю, що ти вчитель."
<female> I like being a teacher.,Мене подобається бути учителем.
<female> I like our new French teacher.,Мені подобається наш новий учитель французької.
<female> I like the teacher.,Мені подобається вчитель.
"<neutral> I'll be damned, if by the end of the movie the chef doesn't turn out to be the killer.","Якщо під кінець фільму повар не виявиться вбивцею, то я не знаю!"
<female> I'll be your teacher.,Я буду твоїм учителем.
<neutral> I'll call the chef.,Я покличу шеф-кухара.
<neutral> I'll find a doctor.,Я знайду лікаря.
<neutral> I'm a baker.,Я пекар.
<neutral> I'm a bank clerk.,Я банківський службовець.
<neutral> I'm a bartender.,Я бармен.
<male> I'm a carpenter.,Я тесляр.
<neutral> I made up my mind to be a doctor.,Я вирішив стати лікарем.
"<neutral> I'm a doctor, Jim. Not a lawyer.","Я лікар, Джиме. Не адвокат."
<neutral> I'm a doctor now.,Я тепер лікар.
<neutral> I'm a doctor.,Я - лікар.
<neutral> I'm a doctor.,Я лікар.
<female> I'm a French teacher.,Я викладач французької.
<female> I'm a French teacher.,Я вчителька із Франції.
<female> I'm a gym teacher.,Я інструктор у спортзалі.
<female> I'm a Japanese teacher.,Я учитель японської мови.
<neutral> I'm a lawyer.,Я адвокат.
<female> I'm also a teacher.,Я теж учитель.
<male> I'm a mechanic.,Я механік.
<male> I'm an engineer.,Я інженер.
<neutral> I'm an officer.,Я офіцер.
<neutral> I'm a painter.,Я художник.
<neutral> I'm a paramedic.,Я фельдшер.
<neutral> I'm a pharmacist.,Я аптекар.
<neutral> I'm a plumber.,Я слюсар.
<neutral> I'm a police officer.,Я поліцейський.
<neutral> I'm a political scientist.,Я політолог.
<neutral> I'm a programmer.,Я програміст.
<neutral> I'm a psychologist.,Я психолог.
<neutral> I'm a salesperson.,Я працюю продавцем.
<neutral> I'm a salesperson.,Я продавець.
<neutral> I'm a schoolteacher from Boston.,Я шкільний учитель із Бостона.
<female> I'm a school teacher.,Я шкільний учитель.
<neutral> I'm a social worker.,Я соціальний працівник.
<neutral> I'm a surgeon.,Я хірург.
"<female> I'm a teacher, not a student.","Я викладач, а не студент."
"<female> I'm a teacher, not a student.","Я вчитель, а не учень."
<female> I'm a teacher now.,Я тепер викладач.
<female> I'm a teacher now.,Я тепер учитель.
"<female> I'm a teacher, too.",Я теж учитель.
<female> I'm a teacher.,Я викладач.
<female> I'm a teacher.,Я - вчитель.
<female> I'm a teacher.,Я вчитель.
<female> I'm a teacher.,Я - вчителька.
<neutral> I'm a therapist.,Я терапевт.
<neutral> I'm a veterinarian.,Я ветеринар.
<neutral> I may need a lawyer.,Мені може знадобитися адвокат.
<female> I met my teacher on the street the other day.,Я якось зустрів свого вчителя на вулиці.
<neutral> I'm glad you're my lawyer.,"Я рада, що ви мій адвокат."
<neutral> I'm glad you're my lawyer.,"Я радий, що ви мій адвокат."
<female> I'm glad you're our teacher.,"Я рада, що ви наш учитель."
<female> I'm glad you're our teacher.,"Я радий, що ти наш учитель."
<neutral> I'm going to be a doctor.,Я буду лікарем.
<neutral> I'm going to be a lawyer.,Я буду адвокатом.
<female> I'm going to be a teacher.,Я буду вчителем.
"<female> I'm not a doctor, but a teacher.","Я не лікар, а вчитель."
<neutral> I'm not a doctor.,Я не лікар.
<male> I'm not an engineer.,Я не інженер.
<neutral> I'm not a scientist.,Я не вчений.
<neutral> I'm not a scientist.,Я не науковець.
<female> I'm not as good a French teacher as Tom.,"Я не такий добрий викладач французької, як Том."
<female> I'm not a teacher.,Я не вчитель.
<neutral> I'm one of Tom's teachers.,Я один з викладачів Тома.
<female> I'm proud to be a teacher.,"Я пишаюся тим, що я вчитель."
<female> I'm proud to be a teacher.,"Я пишаюся тим, що я вчителька."
<neutral> I'm seeing a therapist.,Я ходжу на прийом до терапевта.
